ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,PERCOR_2020.y.x,PERCOR_2019.y.x,2019LEG,2020LEG,DES2019,DES2020,COUNTRY.x.y,PERCOR_2020.y.y,PERCOR_2019.y.y,INFLACION_2019,INFLACION_2020
BTN,Bhutan,0.733356710888411,0.721821627253884,0.700215479300266,0.700215479300266,0.675848821107089,0.675848821107089,0.376,0.373,0.671,0.668,68,68,3.7,3.4,2.50200009346008,3.6489999294281,Bhutan,68,68,2.72582104307304,5.62999177986902
BWA,Botswana,0.631130809583551,0.62589460874845,0.71157366794528,0.71157366794528,0.578125682529142,0.659776993584958,0.416,0.367,0.716,0.712,60,61,2.7,2.4,22.6100006103516,24.9300003051758,Botswana,60,61,2.7728644286333,1.89035916824198
CAF,Central African Republic,0.387409719947111,0.33488623850185,0.596809139715221,0.596809139715221,0.338163044422255,0.290453088558425,0.166,0.163,0.41,0.406,26,25,9.1,8.8,5.6230001449585,6.35699987411499,Central African Republic,26,25,2.68537355266785,1.71015659523149
CAN,Canada,0.822942253332619,0.720253156603365,1,1,0.878208736034787,0.845525082507466,0.604,0.613,0.937,0.931,77,77,0.7,0.5,5.65999984741211,9.46000003814697,Canada,77,77,1.94926902411596,0.716999632307852
CHE,Switzerland,0.969798864519593,0.969798864519593,1,1,0.879869452635873,0.879869452635873,0.798,0.79,0.961,0.955,85,85,0.7,0.5,4.3899998664856,4.82000017166138,Switzerland,85,85,0.362886179940635,-0.725874933313391
CHL,Chile,0.743080556566796,0.795759615898965,1,1,0.724631230709687,0.724631230709687,0.565,0.598,0.86,0.851,67,67,2.7,5.7,7.28999996185303,11.1800003051758,Chile,67,67,2.55754475703323,3.04549084804331
CHN,China,0.19866353734391,0.169038776138705,0.130362514286548,0.130362514286548,0.491044534730414,0.498583422043114,0.037,0.037,0.762,0.764,42,41,8.7,8.7,4.51999998092651,5,China,42,41,2.89923416358227,2.4194218945778
CMR,Cameroon,0.217288691277166,0.204962082158646,0.596809139715221,0.596809139715221,0.157904953873993,0.145108241660747,0.112,0.118,0.582,0.577,25,25,9.2,8.9,3.63800001144409,3.83699989318848,Cameroon,25,25,2.45280214062733,2.43760882182242
COL,Colombia,0.645291567833611,0.645291567833611,0.888593521750256,0.888593521750256,0.516134946725537,0.484353673347596,0.461,0.436,0.768,0.756,39,37,5.7,5.8,9.96000003814697,15.039999961853,Colombia,39,37,3.52549273618952,2.52462053498877
CRI,Costa Rica,0.747044248032,0.747044248032,1,1,0.617889378890544,0.617889378890544,0.662,0.662,0.818,0.815,57,56,1.8,1.5,11.4899997711182,17.4099998474121,Costa Rica,57,56,2.09604635327805,0.724911478131358
CYP,Cyprus,0.665918197632265,0.665918197632265,1,1,0.594587663062092,0.594587663062092,0.574,0.531,0.897,0.894,57,58,4.2,3.9,7.07000017166138,7.59000015258789,Cyprus,57,58,0.250370996758456,-0.638422797978907
DEU,Germany,0.742963078006956,0.742963078006956,1,1,0.908811944905428,0.908811944905428,0.637,0.633,0.947,0.943,80,80,0.7,0.5,3.14000010490417,3.80999994277954,Germany,80,80,1.4456670146976,0.506689889953274
DJI,Djibouti,0.383042273487741,0.383042273487741,0.596809139715221,0.596809139715221,0.346757292027394,0.346757292027394,0.139,0.138,0.512,0.51,27,30,8.1,8.1,26.3570003509521,28.3899993896484,Djibouti,27,30,3.31925372703833,1.77740783806174
DNK,Denmark,0.931447414512709,1,1,1,0.969306021880301,0.969306021880301,0.699,0.694,0.945,0.946,88,87,0.9,0.6,5.01999998092651,5.6399998664856,Denmark,88,87,0.758131572511619,0.420711974110026
DOM,Dominican Republic,0.371255821089945,0.546323286186307,1,1,0.159024405139514,0.375408023331259,0.329,0.379,0.771,0.764,28,28,6,6.3,6.3600001335144,6.13000011444092,Dominican Republic,28,28,1.8106037704296,3.78103179915516
DZA,Algeria,0.241166174122908,0.25635757234009,0.487284053259537,0.487284053259537,0.401866866654386,0.3971169388357,0.109,0.114,0.748,0.735,36,35,7.4,8.2,10.5129995346069,12.5500001907349,Algeria,36,35,1.95176821052894,2.41513094083414
ECU,Ecuador,0.436431666202473,0.468399562159223,1,1,0.470247642797246,0.473042301392906,0.465,0.465,0.76,0.73,39,38,5.7,6,3.80999994277954,6.1100001335144,Ecuador,39,38,0.266012515466136,-0.338872392562274
EGY,Egypt,0.489879005313309,0.489879005313309,0.403613814208192,0.403613814208192,0.314960592994484,0.314960592994484,0.08,0.081,0.734,0.733,33,35,8.6,8.6,7.84000015258789,9.16699981689453,Egypt,33,35,9.15279959324812,5.04493288977533
ESP,Spain,0.84700063863821,0.84700063863821,1,1,0.846383191388388,0.846383191388388,0.625,0.638,0.908,0.899,62,62,6.9,7.2,14.1000003814697,15.5299997329712,Spain,62,62,0.699518994458693,-0.322753017299705
EST,Estonia,0.802659723574323,0.802659723574323,1,1,0.777874403852255,0.777874403852255,0.628,0.626,0.896,0.892,75,74,2.1,1.8,4.44999980926514,6.80000019073486,Estonia,75,74,2.27725931243518,-0.444531097679859
ETH,Ethiopia,0.357023755590913,0.364192663585997,0.596809139715221,0.596809139715221,0.441218584368754,0.443780839816591,0.155,0.15,0.498,0.498,38,37,8,8.5,2.32599997520447,3.23699998855591,Ethiopia,38,37,15.8096321719345,20.3563468559061
FIN,Finland,0.873640560959451,0.873640560959451,1,1,0.885882441111553,0.863707646816586,0.628,0.628,0.938,0.937,85,86,0.9,0.6,6.69000005722046,7.76000022888184,Finland,85,86,1.02409392963429,0.290554555653313
FRA,France,0.708875032485136,0.708875032485136,1,1,0.754889188402984,0.754889188402984,0.614,0.615,0.905,0.898,69,69,1.5,1.2,8.40999984741211,8.01000022888184,France,69,69,1.10825492288292,0.476498852725083
GAB,Gabon,0.32788904803039,0.341061159976219,0.596809139715221,0.596809139715221,0.293865381652475,0.305081316027164,0.266,0.264,0.708,0.71,30,31,7.8,7.8,20.742000579834,21.9720001220703,Gabon,30,31,2.46456756151187,1.17681176042119
GBR,United Kingdom,0.743701228378046,0.760994078593649,1,1,0.838583445002687,0.813015515911092,0.642,0.643,0.935,0.924,77,77,2.3,2.9,3.74000000953674,4.47200012207031,United Kingdom,77,77,1.73810460086511,0.98948670377243
GEO,Georgia,0.465796026849838,0.477304295282359,1,1,0.64070215994601,0.627425529831276,0.432,0.425,0.81,0.802,56,56,8.1,8.5,11.5699996948242,18.5,Georgia,56,56,4.85289821696731,5.2024648897533
GHA,Ghana,0.642277789364186,0.619200196007292,1,1,0.36515901147213,0.36515901147213,0.363,0.361,0.631,0.632,43,41,3.6,3.3,4.31599998474121,4.65100002288818,Ghana,43,41,7.14364003330856,9.88728956269943
GIN,Guinea,0.314083892932049,0.314083892932049,0.757503043355803,0.757503043355803,0.239577788214539,0.239577788214539,0.235,0.223,0.467,0.466,28,29,9.8,9.9,5.01999998092651,6.10300016403198,Guinea,28,29,9.47077937313535,10.6018600008336
GMB,Gambia,0.649356394113903,0.64604937085938,0.71157366794528,0.71157366794528,0.457831849731498,0.457831849731498,0.331,0.31,0.503,0.501,37,37,7.8,7.5,9.4980001449585,11.081000328064,Gambia,37,37,7.11567625631191,5.93127636562439
GNQ,Equatorial Guinea,0.019755058561932,0.019755058561932,0.292491906710228,0.292491906710228,0.222782673324486,0.222782673324486,0.05,0.05,0.604,0.598,16,16,9.8,9.8,8.67899990081787,9.90100002288818,Equatorial Guinea,16,16,1.23869860205109,4.76970498098298
GRC,Greece,0.64499129726571,0.63206203695799,1,1,0.617889378890544,0.601104898908509,0.62,0.596,0.889,0.886,50,48,6.1,5.8,17.3099994659424,16.2999992370605,Greece,50,48,0.25300752203812,-1.24798355581408
GTM,Guatemala,0.555533446536442,0.57255859813355,1,1,0.30337404655559,0.315942133560544,0.349,0.356,0.642,0.635,25,26,6.7,6.4,2.19000005722046,3.55299997329712,Guatemala,25,26,3.69998398008601,3.21444062197346
GUY,Guyana,0.553358938108744,0.581952488253191,0.888593521750256,0.888593521750256,0.46857297731717,0.438620694955572,0.397,0.35,0.707,0.72,41,40,4.8,4.5,13.9919996261597,16.4309997558594,Guyana,41,40,2.0872308916202,0.993337022838757
